Date,Product,Customer_Satisfaction
2024-01-01,Milk,4.5
2024-01-01,Bread,4.2
2024-01-01,Eggs,4.6
2024-01-02,Apples,4.0
2024-01-02,Oranges,4.3
2024-01-02,Bananas,4.1
2024-01-03,Chicken,4.8
2024-01-03,Beef,4.7
2024-01-03,Pork,4.9
2024-01-04,Rice,4.2
2024-01-04,Pasta,4.4
2024-01-04,Bread,4.3
2024-01-05,Water,4.6
2024-01-05,Soft Drinks,4.5
2024-01-05,Tea,4.7
2024-01-06,Chips,4.1
2024-01-06,Salsa,4.2
2024-01-06,Guacamole,4.0
2024-01-07,Yogurt,4.5
2024-01-07,Cheese,4.3
2024-01-07,Milk,4.6
2024-01-08,Apples,4.8
2024-01-08,Oranges,4.7
2024-01-08,Bananas,4.9
2024-01-09,Chicken,4.3
2024-01-09,Beef,4.2
2024-01-09,Pork,4.5
2024-01-10,Rice,4.7
2024-01-10,Pasta,4.6
2024-01-10,Bread,4.8
2024-01-11,Water,4.2
2024-01-11,Soft Drinks,4.4
2024-01-11,Tea,4.3
2024-01-12,Chips,4.6
2024-01-12,Salsa,4.5
2024-01-12,Guacamole,4.7
2024-01-13,Yogurt,4.1
2024-01-13,Cheese,4.3
2024-01-13,Milk,4.2
2024-01-14,Apples,4.5
2024-01-14,Oranges,4.7
2024-01-14,Bananas,4.6
2024-01-15,Chicken,4.8
2024-01-15,Beef,4.9
2024-01-15,Pork,4.7
2024-01-16,Rice,4.3
2024-01-16,Pasta,4.2
2024-01-16,Bread,4.1
2024-01-17,Water,4.6
2024-01-17,Soft Drinks,4.7
2024-01-17,Tea,4.8
2024-01-18,Chips,4.0
2024-01-18,Salsa,4.1
2024-01-18,Guacamole,4.3
2024-01-19,Yogurt,4.7
2024-01-19,Cheese,4.8
2024-01-19,Milk,4.6
2024-01-20,Apples,4.4
2024-01-20,Oranges,4.2
2024-01-20,Bananas,4.5
2024-01-21,Chicken,4.7
2024-01-21,Beef,4.6
2024-01-21,Pork,4.8
2024-01-22,Rice,4.2
2024-01-22,Pasta,4.4
2024-01-22,Bread,4.3
2024-01-23,Water,4.6
2024-01-23,Soft Drinks,4.5
2024-01-23,Tea,4.7
2024-01-24,Chips,4.3
2024-01-24,Salsa,4.2
2024-01-24,Guacamole,4.1
2024-01-25,Yogurt,4.8
2024-01-25,Cheese,4.9
2024-01-25,Milk,4.7
2024-01-26,Apples,4.1
2024-01-26,Oranges,4.3
2024-01-26,Bananas,4.2
2024-01-27,Chicken,4.5
2024-01-27,Beef,4.7
